city_slug,jurisdiction_name
abbeville,Abbeville
abbeville_county,Abbeville County
aberdeen,Aberdeen
abilene,Abilene
abingdonil,Abingdon
abita_springs,Abita Springs
acadia_parish_police_jury,Acadia Parish Police Jury
accomack_county,Accomack County
acworth,Acworth
ada,Ada
ada_township%2c_(kent_co.),Ada Township%2C (Kent Co.)
adairsville,Adairsville
addis,Addis
addison,Addison
addison_township%2c_(oakland_co.),Addison Township%2C (Oakland Co.)
adel,Adel
adrian,Adrian
advancein,Advance
aftonmn,Afton
agoura_hills,Agoura Hills
ahoskie,Ahoskie
aiken,Aiken
akron,Akron
alabaster,Alabaster
alachua,Alachua
alachua_county,Alachua County
alameda,Alameda
alameda_county,Alameda County
alamo,Alamo
alamosa,Alamosa
albany,Albany
albany_county,Albany County
albemarle,Albemarle
albemarle_county,Albemarle County
albert_lea,Albert Lea
albion,Albion
albuquerque,Albuquerque
aldane,Alda
aledo,Aledo
alexander_city,Alexander City
alexandria,Alexandria
alexandriain,Alexandria
algoma,Algoma
algona,Algona
algona,City of Algona
algonac,Algonac
alhambra,Alhambra
alice,Alice
aliceville,Aliceville
alleghany_county,Alleghany County
allen,Allen
allen_parish_police_jury,Allen Parish Police Jury
allen_park,Allen Park
alliance,Alliance
alma,Alma
alpena,Alpena
alpharetta,Alpharetta
alpine,Alpine
alpine_county,Alpine County
alsip,Alsip
altamonte_springs,Altamonte Springs
altavista,Altavista
alto,Alto
alton,Alton
alturas,Alturas
altus,Altus
alvin,Alvin
amador_city,Amador City
amarillo,Amarillo
amberleyvillage,Amberley Village
amelia_county,Amelia County
american_falls,American Falls
american_fork,American Fork
americus,Americus
amherst,Amherst
amherst_county,Amherst County
amite_city,Amite City
anaconda-deer_lodge_county,Anaconda Deer Lodge County
anacortes,City of Anacortes
anahuac,Anahuac
andalusia,Andalusia
anderson,Anderson
anderson_county,Anderson County
angier,Angier
angleton,Angleton
angoon,Angoon
ann_arbor,Ann Arbor
ann_arbor_charter_township%2c_(washtenaw_co.),Ann Arbor Charter Township%2C (Washtenaw Co.)
anna_maria,Anna Maria
annapolis,Annapolis
annawanil,Annawan
annearundel,Anne Arundel County
anoka,Anoka
ansonia,Ansonia
anthony,Anthony
antigo,Antigo
antis,Antis Township
apalachicola,Apalachicola
apex,Apex
apopka,Apopka
apple_valley,Apple Valley
applewoldborpa,Applewold Borough
appomattox,Appomattox
arab,Arab
aragon,Aragon
aransas_pass,Aransas Pass
arapahook,Arapaho
arbyrd,Arbyrd
arcadia,Arcadia
archer,Archer
archer_lodge,Archer Lodge
arcola,Arcola
ardenhills,Arden Hills
ardmore,Ardmore
argyle,Argyle
arkadelphia,Arkadelphia
arkansas_city,Arkansas City
arlington,Arlington
arnaudville,Arnaudville
aroma_park,Aroma Park
arroyo_grande,Arroyo Grande
arvada,Arvada
arvin,Arvin
ascension_parish,Ascension Parish
ashburn,Ashburn
ashevillenc,Asheville
ashland,Ashland
ashland,City of Ashland
aspen,Aspen
assumption_parish,Assumption Parish
astatula,Astatula
astontwppa,Aston Township
astoria,Astoria
atchison,Atchison
athens,Athens
atherton,Town of Atherton
atholid,Athol
atlanta,Atlanta
atlantic_beach,Atlantic Beach
atlantic_city,Atlantic City
atlantis,Atlantis
atlas_township%2c_(genesee_co.),Atlas Township%2C (Genesee Co.)
atmore,Atmore
atwater,Atwater
atwood,Atwood
auburn,Auburn
auburn,City of Auburn
auburn_hills,Auburn Hills
auburndale,Auburndale
auburnky,Auburn
audubonparkky,Audubon Park
augusta,Augusta
augusta-richmond_county,Augusta Richmond County
aurora,Aurora
aurora,City of Aurora
auroraoh,Aurora
austell,Austell
austin,Austin
auxvasse,Auxvasse
ava,Ava
avoca,Avoca
avon,Avon
avon_park,Avon Park
avondale,Avondale
avondale_estates,Avondale Estates
avonlake,Avon Lake
avoyelles_parish_police_jury,Avoyelles Parish Police Jury
aydennc,Ayden
azusa,Azusa
bad_axe,Bad Axe
badinnc,Badin
baggs,Baggs
bainbridge,Bainbridge
baird,Baird
baker,Baker
baker_city,Baker City
baker_county,Baker County
bakersfield,City of Bakersfield
bal_harbour,Bal Harbour
balch_springs,Balch Springs
baldwin,Baldwin
baldwin_county,Baldwin County
ball,Ball
ball_ground,Ball Ground
ballard,Ballard
ballwin,Ballwin
baltimore_county,Baltimore County
bamberg_county,Bamberg County
bancroft,Bancroft
banks,Banks
banks_county,Banks County
bannerelknc,Banner Elk
bannock_county,Bannock County
barboursville,Barboursville
barnesville,Barnesville
barre,Barre
barrington,Barrington
barringtonhillsil,Barrington Hills
barron,Barron
barstow,Barstow
bartlesville,Bartlesville
bartonville,Bartonville
bartow,Bartow
bartow_county,Bartow County
bastrop,Bastrop
batavia,Batavia
bataviail,Batavia
batesburg-leesville,Batesburg Leesville
batesville,Batesville
bath_charter_township%2c_(clinton_co.),Bath Charter Township%2C (Clinton Co.)
baton_rouge%2c_east_baton_rouge_parish,Baton Rouge%2C East Baton Rouge Parish
battlelakemn,Battle Lake
baxtermn,Baxter
bay_city,Bay City
bay_county,Bay County
bay_harbor_islands,Bay Harbor Islands
bay_minette,Bay Minette
bay_st._louis,Bay St. Louis
bay_village,Bay Village
bayard,Bayard
bayfield,Bayfield
bayport,Bayport
baytown,Baytown
beachwood,Beachwood
beaconia,Beacon
beatrice,Beatrice
beaufort,Beaufort
beaufort_county,Beaufort County
beaumont,Beaumont
beauregard_parish_police_jury,Beauregard Parish Police Jury
beaver_dam,Beaver Dam
beavercountyut,Beaver County
beaverok,Beaver
beckley,Beckley
bedford,Bedford
bedford_county,Bedford County
bedford_township%2c_(monroe_co.),Bedford Township%2C (Monroe Co.)
bedfordin,Bedford
bedfordparkil,Bedford Park
bedminstertwppa,Bedminster Township
beeville,Beeville
beggsok,Beggs
belding,Belding
belen,Belen
belgrademt,Belgrade
belhaven,Belhaven
bellaire,Bellaire
bellbrook,Bellbrook
belle_fourche,Belle Fourche
belle_glade,Belle Glade
belle_isle,Belle Isle
belle_meade,Belle Meade
belleair,Belleair
belleair_beach,Belleair Beach
belleair_bluffs,Belleair Bluffs
belleair_shore,Belleair Shore
belleview,Belleview
belleville,Belleville
bellevue,City of Bellevue
bellevueid,Bellevue
bellevueky,Bellevue
bellingham,City of Bellingham
bellmead,Bellmead
bellwood_borough,Bellwood Borough
belmont,Belmont
beloit,Beloit
belton,Belton
belvedere,City of Belvedere
belvidere,Belvidere
bemidji,Bemidji
ben_hill_county,Ben Hill County
benbrook,Benbrook
bend,City of Bend
bennett,Bennett
bennettsvillesc,Bennettsville
bensalem,Bensalem
benson,Benson
bentleyville,Bentleyville
benton,Benton
benton_charter_township%2c_(berrien_co.),Benton Charter Township%2C (Berrien Co.)
benton_county,Benton County
bentonville,Bentonville
